name,coaster_id,type,design,scale,opening,amusement_park,amusement_park_id,status
unknown,17821,Steel,Sit Down,Thrill,2024,Taihu Lake Longemont Paradise,14539,under construction
unknown,17822,Steel,Sit Down,,2024,Taihu Lake Longemont Paradise,14539,under construction
unknown,20352,Steel,Sit Down,Extreme,2024,Taihu Lake Longemont Paradise,14539,under construction
unknown,21212,Steel,Sit Down,Family,2025,Tier- und Freizeitpark Thüle,5070,under construction
Space Mountain,21035,Steel,Sit Down,,2027,Tokyo Disneyland,4959,under construction
unknown,22118,Steel,Sit Down,,2025,Toy Kingdom,5715,under construction
unknown,21599,Steel,Sit Down,Thrill,2024,Tuodong Happy World,21598,under construction
Stardust Racers,20549,Steel,Sit Down,Extreme,2025-05-22,Universal Studios Epic Universe,17569,under construction
Hiccup's Wing Gliders,20550,Steel,Sit Down,Thrill,2025-05-22,Universal Studios Epic Universe,17569,under construction
Curse of the Werewolf,20551,Steel,Sit Down,Thrill,2025-05-22,Universal Studios Epic Universe,17569,under construction
Mine-Cart Madness,21380,Steel,Sit Down,Thrill,2025-05-22,Universal Studios Epic Universe,17569,under construction
Fast & Furious: Hollywood Drift,21003,Steel,Sit Down,,2026,Universal Studios Hollywood,5265,under construction
Mine Cart Madness,19528,Steel,Sit Down,Thrill,2024-12-11,Universal Studios Japan,5492,under construction
Speed Boat,21793,Steel,Sit Down,Family,2025,Walibi Belgium,4847,under construction
unknown,22022,Steel,Suspended,,2028,Walt Disney World - Disney's Hollywood Studios,4735,under construction
YoY,20669,Steel,Sit Down,Extreme,2025-04,Walibi Holland,4794,under construction
unknown,21601,Steel,Sit Down,Thrill,2024,Wanglong Lake Happy World,21600,under construction
unknown,22162,Steel,Sit Down,Family,2024,Wangjiang Pavilion Park,16477,under construction
Kansas Twister,20272,Steel,Sit Down,Family,2024,Warner Bros. Movie World,4934,under construction
Flight of the Wicked Witch,20274,Steel,Suspended,Family,2024,Warner Bros. Movie World,4934,under construction
unknown,20894,Steel,Sit Down,,2025,Wiener Prater,4926,under construction
Wiener Looping,21673,Steel,Sit Down,Extreme,2025,Wiener Prater,4926,under construction
Wild West Coaster,20970,Steel,Sit Down,Family,2025,Winnoland,11420,under construction
unknown,21820,Steel,Inverted,Extreme,2025-09,Wonderla Amusement Park Chennai,21374,under construction
unknown,21609,Steel,Sit Down,Thrill,2024,Xundian Happy World,21608,under construction
unknown,21611,Steel,Sit Down,Thrill,2024,Xishui Happy World,21610,under construction
unknown,21619,Steel,Sit Down,Thrill,2024,Yicheng Youth Innovation Park,21618,under construction
unknown,20681,Steel,Sit Down,Family,2023,Yueqing Happy Park,20680,under construction
